Gene	COL1	COL2	COL3	COL4	COL5	COL6	COL7	COL8	COL9	COL10	COL11	COL12
POPTR_0001s03440.1	6.86	7.16	6.84	7.15	7.21	7.23	6.95	6.97	7.01	6.88	7.07	7.04
POPTR_0001s07400.1	9.60	9.69	9.64	9.84	9.77	9.84	9.77	9.82	9.87	9.70	9.72	9.66
POPTR_0001s12940.1	9.49	9.76	9.44	9.78	9.73	9.63	9.54	9.57	9.49	9.49	9.37	9.56
POPTR_0001s14010.1	0.67	-0.21	1.04	0.75	0.20	1.18	0.87	-0.52	0.64	2.08	2.17	2.18
POPTR_0001s18500.1	2.10	1.83	2.12	1.95	1.85	1.89	2.04	1.73	1.88	2.77	2.55	2.67
POPTR_0001s31220.1	10.03	10.54	10.13	10.62	10.62	10.53	10.39	10.45	10.55	10.37	10.42	10.39
POPTR_0001s44250.1	9.40	9.53	9.70	9.56	9.62	9.99	9.77	9.50	9.49	9.36	9.48	9.49
POPTR_0002s10790.1	4.18	3.85	4.02	3.89	3.75	3.94	3.95	3.94	4.08	4.11	4.19	4.07
POPTR_0002s10790.2	4.18	3.85	4.02	3.89	3.75	3.94	3.95	3.94	4.08	4.11	4.19	4.07
POPTR_0002s13400.1	5.66	5.25	5.48	5.89	5.75	5.73	5.33	5.60	5.63	5.77	5.61	5.64
POPTR_0002s25970.1	10.68	10.76	10.83	10.84	10.85	11.12	10.97	10.60	10.61	10.57	10.59	10.68
POPTR_0003s16040.1	6.87	6.85	6.65	7.16	6.95	6.79	6.77	6.75	6.70	6.85	6.73	6.77
POPTR_0003s17980.1	8.47	8.90	8.65	8.84	8.81	8.86	8.80	8.66	8.74	8.54	8.54	8.60
POPTR_0003s18210.1	8.73	9.15	9.00	9.12	8.99	9.30	9.17	8.93	8.93	8.79	8.74	8.85
POPTR_0003s18720.1	6.49	6.44	6.77	6.67	6.41	7.20	6.94	6.87	6.86	6.63	6.75	6.23
POPTR_0004s01510.1	9.03	9.09	8.96	8.93	8.66	9.28	8.95	8.81	9.04	8.99	8.45	8.82
POPTR_0004s05830.1	10.43	10.47	10.37	10.42	10.46	10.51	10.48	10.37	10.29	10.31	10.25	10.41
POPTR_0005s11070.1	6.13	5.96	6.05	6.09	5.88	6.27	6.10	5.97	5.81	6.12	5.48	5.71
POPTR_0005s11950.1	9.14	9.52	9.34	9.71	9.66	9.81	9.32	9.38	9.43	9.26	9.19	9.23
POPTR_0005s18500.1	5.25	5.29	5.19	5.47	5.42	5.31	5.58	5.23	5.16	5.19	5.07	5.24
POPTR_0005s21740.1	9.09	9.40	9.29	8.87	9.30	9.22	9.64	8.91	8.99	8.94	9.17	9.20
POPTR_0006s03180.1	9.91	10.26	9.95	10.28	10.24	10.26	10.23	9.97	10.02	9.96	9.88	10.08
POPTR_0006s09830.1	2.65	2.55	2.61	2.58	2.62	2.62	2.58	2.52	2.60	2.86	2.89	2.87
POPTR_0006s09840.1	2.70	2.59	2.65	2.62	2.66	2.66	2.62	2.53	2.65	2.92	2.94	2.92
POPTR_0006s12870.1	8.90	8.84	9.14	9.25	9.02	9.62	9.44	8.94	8.98	8.86	9.06	8.94
POPTR_0006s13190.1	5.30	5.75	5.17	5.67	5.04	5.43	6.34	5.31	5.24	5.22	5.33	5.80
POPTR_0006s13320.1	8.07	8.21	7.89	8.28	8.24	8.10	8.07	8.19	8.12	8.09	8.03	8.11
POPTR_0006s19580.1	9.98	10.22	10.15	10.20	10.25	10.41	10.22	9.97	9.93	9.87	9.83	10.02
POPTR_0006s19580.2	9.98	10.22	10.15	10.20	10.25	10.41	10.22	9.97	9.93	9.87	9.83	10.02
POPTR_0007s10660.1	8.10	7.90	7.91	8.12	8.05	8.00	7.92	7.98	8.01	8.10	8.08	8.05
POPTR_0007s12270.1	4.76	4.43	4.35	4.70	4.58	4.67	4.54	4.22	4.38	4.59	4.37	4.42
POPTR_0007s13720.1	9.83	10.22	9.96	10.29	10.20	10.28	10.16	10.05	10.09	9.87	9.78	9.93
POPTR_0008s02650.1	9.53	9.69	9.86	9.73	9.80	10.23	9.84	9.66	9.67	9.63	9.68	9.60
POPTR_0008s03810.1	9.23	9.50	9.26	9.71	9.52	9.62	9.73	9.38	9.53	9.31	9.24	9.26
POPTR_0008s07370.1	2.81	2.69	2.76	2.79	2.76	2.72	2.76	2.62	2.79	3.12	3.11	3.11
POPTR_0008s13600.1	7.71	8.18	7.96	8.11	8.03	8.09	7.94	7.83	7.77	7.76	7.64	7.90
POPTR_0009s01200.1	8.44	8.26	8.56	8.30	8.36	8.68	8.47	8.45	8.37	8.61	8.48	8.46
POPTR_0009s09870.1	10.24	10.73	10.47	10.78	10.68	10.86	10.63	10.43	10.44	10.24	10.19	10.38
POPTR_0009s10270.1	10.27	10.60	10.33	10.65	10.60	10.55	10.53	10.53	10.57	10.45	10.42	10.46
POPTR_0009s15840.1	2.67	2.46	2.70	2.62	2.51	2.56	2.60	2.43	2.46	3.02	2.85	2.92
